hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,13.5693,275.305,7.66466,-1.95908,7.9110686611860475
2,1,13.1846,275.869,-1.67522,-1.33504,2.1421236775685943
3,1,11.7852,275.397,1.91283,-1.05102,2.1825585099373623
4,1,9.64258,275.363,-5.11257,-0.484838,5.135507753975648
5,1,9.14355,275.966,-7.22583,-2.15547,7.540468825596987
6,1,8.2627,276.091,1.00399,-5.34324,5.4367462344402275
7,1,0.0,275.99,-4.11539,-3.26179,5.251257835623766
8,1,7.04688,276.364,-1.89278,-2.66641,3.269917188018681
9,1,24.8806,276.868,-7.22939,-5.63755,9.16766326686359
10,1,53.9714,277.537,-4.31468,-6.53328,7.829445131093263
11,1,122.56,278.12,-1.89214,-4.39081,4.781151141273407
12,1,145.69,280.013,,-7.52314,7.52314
13,1,304.361,281.392,2.56109,-11.335,11.620731775069073
14,1,279.146,281.476,1.87339,-5.89943,6.189738638827975
15,1,194.17,280.648,-4.54248,-6.6946,8.090228285431754
16,1,150.638,280.744,-4.22225,-5.69149,7.086639082287173
17,1,31.4459,279.762,-7.67124,-1.69849,7.857021790583249
18,1,0.0,278.874,-1.384,-2.12888,2.5392097302901155
19,1,0.0,277.875,-5.96512,3.12023,6.73190105893573
20,1,15.9766,278.12,-4.84177,-3.37642,5.902791606460455
21,1,14.0293,277.742,0.45573,1.37103,1.4447882522362923
22,1,10.7031,276.858,4.00646,-1.15718,4.170226286905783
23,1,11.2959,276.494,3.76371,1.7806,4.163658166096252
24,1,9.25391,275.246,4.72458,1.3889,4.924499912315969
1,2,30.8672,271.569,0.289659,-3.68858,3.6999357768319436
2,2,30.4326,271.367,3.0113,-3.44881,4.578451496532424
3,2,28.4355,270.878,0.641348,-2.40014,2.48435087632645
4,2,26.8887,270.503,-0.800065,-3.0947,3.1964467920215722
5,2,24.3281,270.419,-0.383052,-2.48066,2.5100603320047905
6,2,22.9307,269.975,-1.10441,-0.316868,1.1489677008184345
7,2,0.0,269.665,7.75864,-0.165113,7.760396700708605
8,2,5.58984,269.891,3.38554,-0.150297,3.3888744856971322
9,2,97.9353,270.6,5.62608,-0.534039,5.651369198691676
10,2,226.815,271.338,0.684344,-1.28083,1.4521887615719933
11,2,342.075,272.66,0.586378,0.174616,0.6118250618763503
12,2,414.737,274.935,1.62698,0.652641,1.7529986295719115
13,2,433.814,277.1,0.513237,0.605896,0.7940542682871241
14,2,398.474,278.273,-0.910789,0.712872,1.1565997972094755
15,2,312.56,279.768,-1.29785,0.898664,1.5786106573173766
16,2,188.645,280.461,-1.3326,0.413494,1.3952777673409693
17,2,53.5787,278.443,-0.711275,-1.4519,1.6167639702891081
18,2,0.0,276.845,0.1868,-1.05954,1.0758806865075699
19,2,0.0,275.268,-1.66824,-0.808966,1.8540363229332912
20,2,17.8057,274.544,-1.79587,-1.60494,2.408522671784511
21,2,18.1934,273.04,-0.938801,-0.614325,1.1219369515378304
22,2,19.8252,272.24,0.026968,-2.44527,2.445418705646131
23,2,20.3896,271.976,-0.204063,-2.80631,2.813719517661453
24,2,19.3818,271.443,0.0956707,-0.0285816,0.0998488392373692
1,3,15.0312,274.831,8.7213,-4.41367,9.774536130113797
2,3,10.834,275.139,-1.1469,-2.35604,2.6203633510641233
3,3,9.40527,274.892,6.31908,-2.02465,6.635508998479317
4,3,7.69629,274.64,4.34056,-4.14792,6.003807245406867
5,3,4.53613,274.766,1.36988,-3.53974,3.7955672147914865
6,3,4.08691,274.517,7.36238,-4.33347,8.543044042102323
7,3,0.0,274.578,7.47153,-7.61091,10.665350981988356
8,3,15.6289,274.892,-0.254107,-2.73135,2.7431447628495658
9,3,79.9665,276.456,6.73057,-4.79039,8.261259521223142
10,3,127.018,276.021,-10.2053,-5.73347,11.70558953367578
11,3,186.888,275.89,1.99165,-5.28583,5.648598809563306
12,3,256.628,276.966,-10.4599,-1.90156,10.631342269139866
13,3,223.064,279.338,3.20953,-5.961,6.770125834938373
14,3,289.381,279.047,-1.63931,-2.30812,2.8310343004810097
15,3,57.0449,278.708,-2.10596,-3.48854,4.074920717412795
16,3,34.1532,278.404,-3.49569,-1.65682,3.8684494424122953
17,3,13.8561,278.02,-3.17563,-2.49341,4.037538770711682
18,3,,278.265,-1.87277,-3.78806,4.225714855086652
19,3,0.0,277.957,,-2.47889,2.47889
20,3,21.0342,276.948,-5.25827,-1.93892,5.604356712353346
21,3,21.4883,276.964,-6.78499,-0.527411,6.805457491089118
22,3,20.7461,277.143,-6.53602,-0.122025,6.537158980858964
23,3,16.1816,276.035,-0.870567,,0.870567
24,3,23.0029,276.151,5.52096,-2.26393,5.9671080404581245
1,4,18.5176,275.248,4.52989,1.65859,4.823984266164225
2,4,13.1035,275.202,3.48689,-4.86483,5.985396628545179
3,4,14.1816,275.448,6.19115,2.0857,6.533030140179976
4,4,10.1973,274.79,2.12669,-0.726538,2.247369088855678
5,4,5.60059,275.43,-9.84008,-1.18379,9.911030883339029
6,4,4.95215,275.271,6.4825,0.707058,6.5209460406726265
7,4,0.0,275.09,9.74301,-1.1739,9.81347466854121
8,4,10.5156,276.074,3.68632,1.50693,3.9824355823164295
9,4,48.6853,277.406,7.14952,-3.4691,7.946715739247252
10,4,103.643,278.072,6.17458,-8.54206,10.54002975422745
11,4,90.6847,277.036,-1.99468,-6.26093,6.570996329880272
12,4,107.675,278.019,,-2.42548,2.42548
13,4,183.751,280.239,2.76617,0.329529,2.785728958592526
14,4,243.428,280.727,-0.291649,-8.55471,8.559680036268938
15,4,103.185,280.726,-3.6958,-5.03346,6.244570218325678
16,4,21.8173,279.227,-7.14705,-2.96346,7.737080772106492
17,4,7.9264,279.406,-4.23862,-2.51733,4.929792067957836
18,4,,279.19,-3.3674,-4.72116,5.799028755369299
19,4,0.0,279.071,,-2.46668,2.46668
20,4,22.0908,278.055,-3.78171,3.60014,5.221334938854239
21,4,23.2246,277.816,-6.25716,-2.14753,6.615431684062651
22,4,23.9365,277.741,-5.14051,-2.21675,5.598108932720049
23,4,20.5684,277.571,2.39506,,2.39506
24,4,22.2803,276.941,4.76266,,4.76266
1,5,30.4355,276.511,0.835557,-10.1178,10.152242724651979
2,5,31.0,277.028,4.63142,-2.9244,5.4774233519420426
3,5,26.918,276.663,3.14623,-8.06615,8.658033208263872
4,5,24.2344,276.794,5.79271,-6.60349,8.78416582973022
5,5,22.9033,276.621,9.6023,-5.0207,10.83566305216252
6,5,22.2275,276.358,8.47664,-8.71872,12.160160530519324
7,5,0.0,276.53,5.29184,-1.80867,5.592392846939492
8,5,4.39453,276.922,4.95976,-6.53067,8.20054083012212
9,5,73.2556,277.666,1.77159,-4.3021,4.652590196664649
10,5,128.19,278.563,-7.63792,-7.274,10.547459311436096
11,5,239.638,279.584,-11.0279,-7.82197,13.520273410360458
12,5,365.237,280.558,-4.81833,-6.04316,7.728912392730299
13,5,367.501,281.519,-0.0277786,-4.03473,4.034825624920854
14,5,331.459,281.552,0.472023,-5.70266,5.722161898105383
15,5,259.17,281.646,-1.50049,-5.23366,5.444507988395279
16,5,155.474,281.418,1.00627,-5.06746,5.166403987736538
17,5,33.8131,280.215,0.311186,-3.26733,3.28211548478965
18,5,0.0,279.088,5.00614,-1.72067,5.2935945205975115
19,5,0.0,278.653,4.75949,-0.341681,4.771738778041082
20,5,18.9707,278.525,-1.92184,-4.37545,4.778915325479203
21,5,19.0449,277.69,-0.497883,-1.00983,1.1258970248601778
22,5,20.5459,277.307,2.26769,-0.745071,2.3869538602874165
23,5,21.0752,276.394,2.96928,-0.507484,3.012335261662619
24,5,20.8818,276.817,1.58883,-0.509539,1.6685355139825462
1,6,31.498,269.325,0.574815,-1.15586,1.2909007025426085
2,6,32.8955,269.378,6.23005,-1.39949,6.385303067404084
3,6,33.0586,268.747,6.75561,-1.57153,6.935991134149466
4,6,27.6533,268.14,5.91576,-1.48777,6.099973438507745
5,6,24.3848,268.121,5.51636,-1.54121,5.727613457077912
6,6,27.4014,267.358,6.11922,-1.08152,6.214059777536744
7,6,0.0,266.68,8.06528,-1.59382,8.22125316912209
8,6,8.12891,266.99,6.11113,-7.9169,10.001160706982965
9,6,98.5134,267.838,-7.00283,-6.31041,9.426606090051711
10,6,238.893,269.278,2.51442,-5.74665,6.272662445796043
11,6,349.153,270.923,4.43306,-6.69404,8.028835064017693
12,6,412.425,273.07,3.92581,-6.29609,7.4197529233930695
13,6,422.845,274.9,3.29644,0.449646,3.3269653137530604
14,6,379.178,275.543,3.80796,0.793926,3.8898429087915622
15,6,288.404,276.215,0.74658,0.925032,1.1887244833955428
16,6,163.458,275.327,-0.195881,1.60099,1.6129285000461118
17,6,39.0631,273.972,2.53042,-0.580811,2.5962216380966012
18,6,0.0,273.61,3.08035,-1.88034,3.6089104502744314
19,6,0.0,272.269,1.68918,-3.07361,3.5071936793539074
20,6,19.8496,272.257,1.04153,-1.34127,1.698172533578376
21,6,19.6074,271.71,2.80143,-1.34186,3.106219294335157
22,6,20.6504,271.195,-2.3617,0.293991,2.3799280657366517
23,6,20.6719,271.18,-1.48092,-0.383461,1.5297602377238728
24,6,19.752,270.312,-2.06986,-0.571062,2.147191707194306
1,7,23.749,274.749,3.85118,4.15371,5.664352933610334
2,7,26.0342,275.023,-7.42229,3.18205,8.075631928623295
3,7,25.0938,275.15,5.61791,-7.38793,9.281294222951884
4,7,28.6963,275.175,-0.745378,-6.64646,6.688125215221677
5,7,23.4717,275.249,3.2605,-2.75898,4.271162709427024
6,7,21.1074,274.874,-6.37394,-0.783176,6.421874786273554
7,7,0.0,274.972,-7.76578,-4.14216,8.801410595694307
8,7,1.91797,275.897,-3.86348,-5.4711,6.697716993155205
9,7,53.5993,276.248,-10.7401,-6.74937,12.684783932211852
10,7,73.9245,276.999,-9.34984,-3.23298,9.89301105356706
11,7,221.31,278.599,0.734816,-5.76142,5.808090475384832
12,7,355.097,280.176,-0.396456,-3.26728,3.291245350674422
13,7,363.048,281.55,-1.04633,-1.87604,2.1480997533866995
14,7,336.787,281.651,-0.756493,-4.90871,4.966660399418205
15,7,253.998,281.651,-0.828127,-4.74928,4.820939207927123
16,7,152.864,281.026,0.232342,-4.63436,4.640180536850264
17,7,31.5826,279.55,-2.20542,-5.37134,5.806476622875528
18,7,0.0,277.525,-1.8342,-2.16452,2.8371528810411326
19,7,0.0,276.773,-6.01883,-0.228399,6.023162016092628
20,7,18.4082,276.998,0.527374,-0.462362,0.7013572234746
21,7,18.6836,276.673,-5.26693,-0.523504,5.29288277434103
22,7,20.2754,276.349,-0.986704,0.349655,1.0468253926233353
23,7,20.7227,275.898,3.07719,4.10384,5.1293860297018
24,7,19.9287,275.651,3.62057,-2.12868,4.1999768650910445
1,8,20.3359,270.76,1.73009,-0.402443,1.776280320317995
2,8,12.9648,270.75,7.79646,0.0311699,7.79652230768732
3,8,13.6035,270.424,1.57006,0.116951,1.5744097116065436
4,8,14.8887,269.924,-0.00319004,0.29397,0.2939873079831876
5,8,8.43359,269.799,0.212651,0.723928,0.7545145439188035
6,8,7.70215,269.598,1.47664,0.140652,1.4833235232760247
7,8,0.0,269.473,0.650237,-1.81257,1.9256734305351466
8,8,10.9375,269.776,0.281049,-2.84805,2.8618835306317063
9,8,117.599,270.502,0.910257,-6.89,6.949868186235549
10,8,267.549,271.687,1.97243,-6.58503,6.874089045524505
11,8,378.935,273.329,3.25337,-2.34443,4.01008333851056
12,8,445.487,275.703,0.810575,-8.1081,8.148516272342162
13,8,454.486,278.002,1.70074,-9.68317,9.831393481928185
14,8,394.974,278.99,2.34605,-0.256367,2.3600158137582468
15,8,298.685,280.269,2.81494,1.00462,2.9888373237765884
16,8,186.809,280.34,3.44426,0.129803,3.4467050593877335
17,8,48.7701,278.064,3.94986,-1.36255,4.178269560727263
18,8,0.0,276.686,-0.658903,-0.195772,0.6873716894031933
19,8,0.0,275.532,-2.89969,2.46642,3.8067610527192275
20,8,11.2666,274.306,1.82767,-0.587362,1.9197322073518484
21,8,12.1582,273.373,2.29948,-0.22077,2.3100536061528962
22,8,14.4121,272.46,-4.0785,-1.25679,4.267749214058858
23,8,12.6484,271.757,-0.376915,1.36459,1.4156873896891926
24,8,14.7861,271.035,1.70798,0.218,1.7218361363381827
1,9,13.999,271.01,-0.301162,-1.08506,1.1260789287807493
2,9,14.2568,271.135,-0.559012,-2.17049,2.241321319276645
3,9,18.3643,270.625,0.327871,-2.93822,2.956456690202141
4,9,12.0273,270.26,2.80736,-1.83103,3.3517071814972144
5,9,10.1504,270.377,1.15113,-2.54023,2.7888830613347704
6,9,9.34473,270.01,-1.48234,-0.981907,1.7780532141218381
7,9,0.0,269.635,1.11117,-0.727125,1.327934311073029
8,9,8.58984,270.0,2.89238,-1.54629,3.279767496103954
9,9,107.779,270.651,1.56846,-1.51109,2.1779485209021816
10,9,254.393,272.244,1.13649,-0.829662,1.4071064474104296
11,9,373.091,273.592,1.38814,-2.30439,2.690194404071944
12,9,442.831,275.695,0.331083,0.923637,0.9811836019104682
13,9,459.095,277.661,4.19488,0.895447,4.289387315714099
14,9,418.959,278.308,1.02964,0.503887,1.1463248398115606
15,9,327.06,279.479,4.29053,-0.662371,4.341357278840455
16,9,197.489,279.32,4.15031,-6.39803,7.6262612712258955
17,9,56.8405,277.57,4.51626,-0.415283,4.5353130385552225
18,9,0.0,275.725,-2.84933,-0.664034,2.925683270973808
19,9,0.0,274.953,-0.994415,1.026,1.4288237092885183
20,9,7.5625,273.699,-0.936005,0.524942,1.073158638500851
