hour,bus_id,pv_profile_ratio,wind_profile_ratio,hydro_profile_ratio
1,1,0.007744152234431298,0.2275855328777724,0.04638321
2,1,0.007731427150064937,0.594126827407764,0.04638321
3,1,0.00819736934742809,0.43498972392010593,0.04638321
4,1,0.008541677547184079,0.6828191766466187,0.04638321
5,1,0.008725427520771177,0.3627685606323684,0.04583103
6,1,0.008781030304297456,0.10458151144894003,0.04417449
7,1,0.0,0.24407233012454888,0.04251795
8,1,0.026414970540867465,0.34539560278427794,0.05190502
9,1,0.1889710452793181,0.2226201898000321,0.2661513
10,1,0.37468864737074187,0.026614782608695656,0.2954169
11,1,0.5163129312085835,0.0,0.30922142
12,1,0.5963958060215915,0.056352271114675535,0.31087797
13,1,0.6109665502742767,0.0,0.16620652
14,1,0.5461165317409232,0.05079343590961093,0.13473219
15,1,0.4132467393203986,0.03435530131876534,0.15129763
16,1,0.23574528829130503,0.0,0.28492546
17,1,0.11184093293795415,0.0,0.29486472
18,1,0.01875598801684171,0.0,0.25842076
19,1,0.0,0.0,0.1286582
20,1,0.02274907609563234,0.0,0.11374931
21,1,0.023171519507082596,0.1250795801050818,0.07730536
22,1,0.022606930009689483,0.0,0.04803976
23,1,0.021952415989381198,0.0,0.04472667
24,1,0.022264617465549003,0.0,0.04583103
1,2,0.026358205705661983,0.0993773937546577,0.04638321
2,2,0.02615646141892345,0.0,0.04638321
3,2,0.0270103367224645,0.0,0.04638321
4,2,0.028015489624041073,0.0,0.04638321
5,2,0.028810033310710238,0.0,0.04583103
6,2,0.029286079868573563,0.5150847177509976,0.04417449
7,2,0.0,0.0,0.04251795
8,2,0.013351592938657874,0.0,0.05190502
9,2,0.15487737967800486,0.0,0.2661513
10,2,0.344693821711576,0.0,0.2954169
11,2,0.4925495956222423,0.0,0.30922142
12,2,0.5812364048743366,0.05031797004412162,0.31087797
13,2,0.5913078451252126,0.03357847976194648,0.16620652
14,2,0.5397576353127126,0.0,0.13473219
15,2,0.43622807585240025,0.029878451515763748,0.15129763
16,2,0.28617793218843446,0.20020253550291384,0.28492546
17,2,0.1436424728187399,0.2612222721766416,0.29486472
18,2,0.03152366901806553,0.10432065278552467,0.25842076
19,2,0.0,0.03647497367963477,0.1286582
20,2,0.03426800890651531,0.08379533685039281,0.11374931
21,2,0.03512904106840604,0.0,0.07730536
22,2,0.03504838670455595,0.007350217758771224,0.04803976
23,2,0.031493417990943975,0.0,0.04472667
24,2,0.028963816418679785,0.0,0.04583103
1,3,0.003791361953670161,0.38770781761078743,0.04638321
2,3,0.003959863352116416,0.46953504684709896,0.04638321
3,3,0.00429442664008099,0.3314431675347753,0.04638321
4,3,0.004546711329526635,0.5162906921730805,0.04638321
5,3,0.005347403668655425,0.3439766631732912,0.04583103
6,3,0.006123810577081025,0.3644034688448924,0.04417449
7,3,0.0,0.0,0.04251795
8,3,0.03952400551282893,0.38544125044649546,0.05190502
9,3,0.23576939022410018,0.0,0.2661513
10,3,0.427252347638438,0.0,0.2954169
11,3,0.5647664346509392,0.0,0.30922142
12,3,0.6337003308034227,0.11471453170373822,0.31087797
13,3,0.6272841427112101,0.11712042830164501,0.16620652
14,3,0.554130682854134,0.057317057014995405,0.13473219
15,3,0.41723292958050395,0.018886956521739134,0.15129763
16,3,0.24348597938310573,0.003949565217391306,0.28492546
17,3,0.112281218746082,0.0,0.29486472
18,3,0.018568788330575757,0.0,0.25842076
19,3,0.0,0.0,0.1286582
20,3,0.01981965401769152,0.07161166406466056,0.11374931
21,3,0.020334002610881346,0.17279739130434782,0.07730536
22,3,0.02019513090600349,0.1803046691704131,0.04803976
23,3,0.01862446916970523,0.09012867456758701,0.04472667
24,3,0.018681659468351524,0.26953623316315756,0.04583103
1,4,0.004765920131432698,0.3153624063330423,0.04638321
2,4,0.005035280310685238,0.6778353938059626,0.04638321
3,4,0.005408972659161321,0.3217329726259556,0.04638321
4,4,0.0053523655128999035,0.6766292772859958,0.04638321
5,4,0.0058090266343115,0.3356385307614409,0.04583103
6,4,0.006793246518873744,0.2278824919135877,0.04417449
7,4,0.0,0.3477826086956522,0.04251795
8,4,0.030150792248773733,0.30420800735585535,0.05190502
9,4,0.19501901033093524,0.46156717664152896,0.2661513
10,4,0.3785014416350495,0.13369478260869566,0.2954169
11,4,0.5198139783373178,0.0,0.30922142
12,4,0.599268504236219,0.1806621859961819,0.31087797
13,4,0.6037212495828838,0.027040000000000012,0.16620652
14,4,0.5500758238231559,0.06018531746485037,0.13473219
15,4,0.423581140049199,0.052983460990156224,0.15129763
16,4,0.2496222742707046,0.01061565217391304,0.28492546
17,4,0.1113578380369292,0.0,0.29486472
18,4,0.01762765261862959,0.0,0.25842076
19,4,,0.0032723857240822586,0.1286582
20,4,0.020932638816951104,0.17669120754717604,0.11374931
21,4,0.021463379987254845,0.06274806141146005,0.07730536
22,4,0.019633392970702705,0.04278686439561762,0.04803976
23,4,0.019577454450661384,0.060556368176384316,0.04472667
24,4,0.019041435940228602,0.09483648098196652,0.04583103
1,5,0.025793228840248646,0.6514360460808596,0.04638321
2,5,0.025466596145825197,0.5814071314943893,0.04638321
3,5,0.026371861142554076,0.4199678260400949,0.04638321
4,5,0.027577626323205328,0.05968418300852922,0.04638321
5,5,0.028303635443328312,0.3331793200411578,0.04583103
6,5,0.029756032313735803,0.20695980182182044,0.04417449
7,5,0.0,0.2284370681415369,0.04251795
8,5,0.02106117538510921,0.29502289937799003,0.05190502
9,5,0.17541729857484828,0.20643687280175388,0.2661513
10,5,0.3671793705459782,0.1826199487944495,0.2954169
11,5,0.5137532691739738,0.06837953379341441,0.30922142
12,5,0.6005650162668328,0.07755505249353017,0.31087797
13,5,0.620130356504978,0.11960220330084287,0.16620652
14,5,0.5642380193976885,0.09435622909123477,0.13473219
15,5,0.45165195746216114,0.06371538861945615,0.15129763
16,5,0.2862298817231623,0.0,0.28492546
17,5,0.13560728041411987,0.0,0.29486472
18,5,0.02339060827912587,0.0,0.25842076
19,5,0.0,0.061867844543839645,0.1286582
20,5,0.03355756450135257,0.10207397223502104,0.11374931
21,5,0.03381106603553838,0.0,0.07730536
22,5,0.03367108902692324,0.17148481012607367,0.04803976
23,5,0.030863746467848844,0.11937433346030539,0.04472667
24,5,0.028223060622030303,0.07173987983557668,0.04583103
1,6,0.02821684393886869,0.2605551094774859,0.04638321
2,6,0.027911158949029163,0.23476350452465558,0.04638321
3,6,0.02925202574802116,0.16513847167559578,0.04638321
4,6,0.029715203252936407,0.46179927215358385,0.04638321
5,6,0.030112164207208098,0.1224773610538561,0.04583103
6,6,0.03071968426266808,0.02478385508888533,0.04417449
7,6,0.0,0.0,0.04251795
8,6,0.01731709932762169,0.463335731022674,0.05190502
9,6,0.17725139629124628,0.48363766978243933,0.2661513
10,6,0.3730429298003125,0.17621411680376883,0.2954169
11,6,0.5169845136979205,0.054082625556629675,0.30922142
12,6,0.5969890678434933,0.09707930870905483,0.31087797
13,6,0.6077636537160968,0.06539602236516867,0.16620652
14,6,0.5489562829061735,0.0,0.13473219
15,6,0.438322840645785,0.0,0.15129763
16,6,0.2902708590335409,0.018674651745942367,0.28492546
17,6,0.14468989966710719,0.017587041216828973,0.29486472
18,6,0.028553585846236716,0.1439488228663551,0.25842076
19,6,0.0,0.15926194190416942,0.1286582
20,6,0.03494003805406038,0.21605130065873948,0.11374931
21,6,0.035479900147904114,0.2727714005924486,0.07730536
22,6,0.03517442459699126,0.25406616058013,0.04803976
23,6,0.03223068562481962,0.20449044787964996,0.04472667
24,6,0.027850215600451287,0.15820703884131418,0.04583103
1,7,0.024050375732690126,0.7210881348872158,0.04638321
2,7,0.023871273517960485,0.9599366420419946,0.04638321
3,7,0.024657244519647816,0.9561216600774086,0.04638321
4,7,0.025673122442574515,0.8805011255459898,0.04638321
5,7,0.0267642992894272,0.954907146332255,0.04583103
6,7,0.028292739197397318,0.6562330784013264,0.04417449
7,7,0.0,0.7107127786055392,0.04251795
8,7,0.024010636339748592,0.37935617048984915,0.05190502
9,7,0.19187629574204337,0.2122058721444988,0.2661513
10,7,0.3845152830303986,0.0436333405742785,0.2954169
11,7,0.5262858678705088,0.14113377417272363,0.30922142
12,7,0.6060054711232737,0.0,0.31087797
13,7,0.6194590411680544,0.3441827356814588,0.16620652
14,7,0.560792118946383,0.12902810650482946,0.13473219
15,7,0.4482644200469672,0.060073129543576916,0.15129763
16,7,0.27437634447792003,0.0435579818260038,0.28492546
17,7,0.12922757050689196,0.0,0.29486472
18,7,0.021809576842419465,0.0,0.25842076
19,7,0.0,0.0,0.1286582
20,7,0.03274254600536112,0.48975129736268136,0.11374931
21,7,0.033205569769626526,0.4569700700839543,0.07730536
22,7,0.03357056393931255,0.38883063867041917,0.04803976
23,7,0.03175506861927707,0.43565927157377216,0.04472667
24,7,0.030029290525330772,0.38873487656180156,0.04583103
1,8,0.019958739657157835,0.3735661404604199,0.04638321
2,8,0.007838049685187537,0.11422732052561037,0.04638321
3,8,0.010777307891041529,0.18303751065830406,0.04638321
4,8,0.009438332348441133,0.037791066014011075,0.04638321
5,8,0.010856961742798156,0.11257876116967766,0.04583103
6,8,0.016328446872850646,0.10829330221035975,0.04417449
7,8,0.0,0.6772295635810622,0.04251795
8,8,0.023905320581436833,0.5480542719330844,0.05190502
9,8,0.18814344478881595,0.043383255284629156,0.2661513
10,8,0.37794266016347594,0.0,0.2954169
11,8,0.5245149718345699,0.015055046495580093,0.30922142
12,8,0.601177334500388,0.0,0.31087797
13,8,0.5891689696637004,0.015240614485159546,0.16620652
14,8,0.5350817771953825,0.08671411443306593,0.13473219
15,8,0.3900977025535629,0.044540145485283573,0.15129763
16,8,0.23130437456334854,0.10727866061830339,0.28492546
17,8,0.1135641678401407,0.2856885302746528,0.29486472
18,8,0.024752653185695316,0.20237545309049648,0.25842076
19,8,0.0,0.10656720690863242,0.1286582
20,8,0.022046877279642333,0.0,0.11374931
21,8,0.022095833723944816,0.0,0.07730536
22,8,0.02035825882602819,0.0,0.04803976
23,8,0.02009436639155723,0.0,0.04472667
24,8,0.01990391038587577,0.0,0.04583103
1,9,0.008367798299905381,0.015084928865129885,0.04638321
2,9,0.010700223001515258,0.02143043329078563,0.04638321
3,9,0.009816656862783331,0.0,0.04638321
4,9,0.010134393480227539,0.0,0.04638321
5,9,0.013333050791850784,0.0,0.04583103
6,9,0.010582900669342858,0.0,0.04417449
7,9,0.0,0.33040622997641694,0.04251795
8,9,0.01755983182321308,0.07959112793574545,0.05190502
9,9,0.17202359982177656,0.0,0.2661513
10,9,0.36187115005068293,0.0,0.2954169
11,9,0.5158005193551702,0.0,0.30922142
12,9,0.6074500275322239,0.0,0.31087797
13,9,0.598568508783606,0.14336760932176093,0.16620652
14,9,0.5376117458750657,0.0,0.13473219
15,9,0.4073032076739546,0.12780638126322885,0.15129763
16,9,0.25342984813985825,0.0,0.28492546
17,9,0.12665015515307784,0.08777566505601171,0.29486472
18,9,0.02940393569614648,0.014668702965141363,0.25842076
19,9,0.0,0.14570726448242757,0.1286582
20,9,0.023866140043629667,0.17208591755882274,0.11374931
21,9,0.023803068953128295,0.0,0.07730536
22,9,0.022796316269391704,0.0,0.04803976
23,9,0.022046141602251317,0.04198442507424708,0.04472667
24,9,0.02200378824723161,0.08975330767362409,0.04583103
1,10,0.025367116419532557,0.09329680865285563,0.04638321
2,10,0.025832024704958288,0.26879094859053376,0.04638321
3,10,0.026768391021604523,0.5885896614624475,0.04638321
4,10,0.028286127892425256,0.45486415968348587,0.04638321
5,10,0.02937182636924678,0.735778916385202,0.04583103
6,10,0.030357798241385243,0.8303222948229275,0.04417449
7,10,0.0,0.6926593276410565,0.04251795
8,10,0.021978687030136956,0.1931265503302035,0.05190502
9,10,0.2054244709972,0.6565076519790408,0.2661513
10,10,0.4167968998589762,0.19984338607411545,0.2954169
11,10,0.5684124012947676,0.0,0.30922142
12,10,0.6505039155713026,0.0,0.31087797
13,10,0.6583036281945742,0.0739418280042103,0.16620652
14,10,0.5901022336572647,0.11080288663532505,0.13473219
15,10,0.47340423520857183,0.13908522295086417,0.15129763
16,10,0.30080054173756204,0.16494457614508207,0.28492546
17,10,0.1456091313609528,0.24775924358880344,0.29486472
18,10,0.028227367371201097,0.040887335649787755,0.25842076
19,10,0.0,0.05052325866100274,0.1286582
20,10,0.03713004436203723,0.05811005358053424,0.11374931
21,10,0.03719176513442209,0.0,0.07730536
22,10,0.03717531537302122,0.0,0.04803976
23,10,0.03451127736052762,0.0,0.04472667
24,10,0.03187765444838852,0.05645563982543998,0.04583103
1,11,0.0053171573427448935,0.5799901399276588,0.04638321
2,11,0.00516807387856733,0.44898149173919855,0.04638321
3,11,0.005004316200484958,0.6234122785496498,0.04638321
4,11,0.005118700020885364,0.5584673614462171,0.04638321
5,11,0.005612650671721852,0.25132667134463665,0.04583103
6,11,0.00630462404574709,0.3977697176381971,0.04417449
7,11,0.0,0.18412685224079114,0.04251795
8,11,0.02236155612069629,0.5706497692676955,0.05190502
9,11,0.18235534369113002,0.14817004546210424,0.2661513
10,11,0.3788783766365083,0.3790472759281215,0.2954169
11,11,0.5364427772490626,0.11442831093520454,0.30922142
12,11,0.6315634897539056,0.19522822045165147,0.31087797
13,11,0.6347423901941409,0.18582157903641316,0.16620652
14,11,0.5861192565931559,0.09938236734102546,0.13473219
15,11,0.4527097272349367,0.1541535839036776,0.15129763
16,11,0.26942523184976014,0.15906975589606506,0.28492546
17,11,0.1222807847943846,0.2605577924861999,0.29486472
18,11,0.023900633387618005,0.03833373284793086,0.25842076
19,11,0.0,0.09262325998472054,0.1286582
20,11,0.02119347199881519,0.0,0.11374931
21,11,0.021627815843403134,0.0,0.07730536
22,11,0.01998274974836373,0.026451795123721776,0.04803976
23,11,0.0195523191477342,0.0,0.04472667
24,11,0.01892351423925888,0.0,0.04583103
1,12,0.02933939997573353,0.0,0.04638321
2,12,0.026590804549815918,0.0,0.04638321
3,12,0.0273263542487737,0.05625873568474884,0.04638321
4,12,0.02830365336255212,0.13692755361773418,0.04638321
5,12,0.02883060005012627,0.02694113001963965,0.04583103
6,12,0.0292961083702916,0.01179691786595234,0.04417449
7,12,0.0,0.0,0.04251795
8,12,0.009521766899124874,0.0,0.05190502
9,12,0.15514727442512272,0.0,0.2661513
10,12,0.35389552800492385,0.0,0.2954169
11,12,0.5063195658001769,0.0,0.30922142
12,12,0.5960371708457469,0.09884586781069866,0.31087797
13,12,0.6071209259985767,0.0,0.16620652
14,12,0.5564143487886566,0.0,0.13473219
15,12,0.4495011616571857,0.0,0.15129763
16,12,0.29949891327004874,0.10331258868035795,0.28492546
17,12,0.15773307707179263,0.11883253145375215,0.29486472
18,12,0.03763462606494312,0.22215742506129418,0.25842076
19,12,0.0,0.1220624171336142,0.1286582
20,12,0.036388958703481585,0.17974214682221903,0.11374931
21,12,0.035854927641614284,0.0,0.07730536
22,12,0.03534273702581355,0.0,0.04803976
23,12,0.030350984387456124,0.003689318909861413,0.04472667
24,12,0.023630253491538026,0.05093382130871984,0.04583103
1,13,0.006243373600107599,0.3684183093702954,0.04638321
2,13,0.009391259723475189,0.06724316892417231,0.04638321
3,13,0.01614170782781605,0.592004817506398,0.04638321
